mcq_label,question_text,ques_type,ques_for_assessment_type,choiceA,choiceB,choiceC,choiceD,choiceE,correctChoice,puzzle_answer,difficultyLevel
Javascript,_________ is the tainted property of a window object.,Multiple Choice Question,"1, 2, 3, 4",Pathname,Protocol,Defaultstatus,Host,,C,,LEVEL 2
LR - Logical Problems,"If the first day of the year (other than a leap year) was Friday, then which was the last day of that year?",Multiple Choice Question,"1, 2, 3, 4",monday,friday,saturday,sunday,,B,,LEVEL 2
CSS,Which of the following function two dimensional transformation in matrix format?,Multiple Choice Question,"1, 2, 3, 4",matrix(),matrix2d(),matrix3d(),perspective,-,A,,LEVEL 2
Javascript,What is the programming philosophy that argues that content and behaviour should as much as possible be kept<br>separate?,Multiple Choice Question,"1, 2, 3, 4",Unobtrusive JavaScript,Obtrusive JavaScript,Inherited JavaScript,Modular JavaScript,,A,,LEVEL 2
Node,What output will be generated on the execution of the following code snippet in Node.js?<br><br>function Test()<br><br>console.log(Test.prototype.constructor === Test);,Multiple Choice Question,"1, 2, 3, 4",TRUE,FALSE,Test,No output will be displayed due to an error in the program.,,A,-,LEVEL 1
CSS,"If we don't want to allow a floating div to the left side of an element, which css property will we use ?",Multiple Choice Question,"1, 2, 3, 4",margin,clear,float,padding,-,B,,LEVEL 2
HTML,In which part of the HTML metadata is contained?,Multiple Choice Question,"1, 2, 3, 4",body tag,html tag,head tag,title tag,-,C,-,LEVEL 4
CSS,"In CSS tables, the possible values for the caption-side property can have the following values.",Multiple Choice Question,"1, 2, 3, 4","top, bottom, left or right","top, bottom, center, left or right",top or bottom,left or right,-,A,,LEVEL 1
CSS,Which values are VALID for text-transform CSS property?,Multiple Choice Question,"1, 2, 3, 4",capitalize,lowercase,uppercase,All of them,-,D,,LEVEL 2
Javascript,Determine the result – String(“Hello”) === “Hello”;,Multiple Choice Question,"1, 2, 3, 4",TRUE,FALSE,SyntaxError,ReferenceError,,A,,LEVEL 2
LR - Number Series,"Look at this series: 21, 9, 21, 11, 21, 13, 21, ... What number should come next?",Multiple Choice Question,"1, 2, 3, 4",14,15,21,23,,B,-,LEVEL 1
Node,Which file does node-gyp use to read the build configuration of module ?,Multiple Choice Question,"1, 2, 3, 4",.gyprc,binding.gyp,gyp.json,package.gyp,,B,-,LEVEL 1
CSS,"How do you select an element with id ""demo""?",Multiple Choice Question,"1, 2, 3, 4",#demo,.demo,*demo,demo,-,A,-,LEVEL 1
HTML,#ffffff is equivqlent to which color in rgb color representation?,Multiple Choice Question,"1, 2, 3, 4",". rgb(0,0,0)","rgb(100,100,100)","rgb(90,90,90)","rgb(255,255,255)",-,D,-,LEVEL 1
CSS,"There are two sibling combinators that can be used to select elements contained within the same parent element; the<br>general sibling combinator (~) and the adjacent sibling combinator (+). Referring to example below, which elements will the<br>styles be applied to?<br>h2 ~ p {<br>color: blue;<br>}<br>h2 + p {<br>background: beige;<br>}<br>&lt;section&gt;<br>&lt;p&gt;paragraph 1&lt;/p&gt;<br>&lt;h2&gt;Heading&lt;/h2&gt;<br>&lt;p&gt;paragraph 2&lt;/p&gt;<br>&lt;p&gt;paragraph 3&lt;/p&gt;<br>&lt;/section&gt;",Multiple Choice Question,"1, 2, 3, 4",Paragraphs 2 and 3 will be blue. The h2 and paragraph 2 will have a beige background.,"Paragraphs 2, and 3 will be blue, and paragraph 2 will have a beige background.",Paragraph 2 will be blue. Paragraphs 2 and 3 will have a beige background.,none of the above,-,B,,LEVEL 3
Node,Which of the following code prints current directory?,Multiple Choice Question,"1, 2, 3, 4",console.log('Current directory: ' + process.cwd());,console.log('Current directory: ' + console.cwd());,console.log('Current directory: ' + process.currenWorkingDirectory());,None of the above.,,A,-,LEVEL 1
CSS,Which of the following @viewport Property sets the viewport height in the same way as width?,Multiple Choice Question,"1, 2, 3, 4",height,width,viewpor-width,none of the mentioned,-,A,,LEVEL 3
HTML,Comments in XML document is given by:,Multiple Choice Question,"1, 2, 3, 4",&lt;?-- _ _--&gt;,&lt;!_ _ _ _!&gt;,&lt;!_ _ _ _&gt;,&lt;/_ _ _ _&gt;,-,C,-,LEVEL 2
DSA Stacks,"The seven elements 1, 2, 3, 4, 5, 6 and 7 are pushed onto a stack in reverse order, i. e., starting from 7. The stack is popped five times and each element is inserted into a queue. Two elements are deleted from the queue and pushed back onto the stack. Now, one element has popped from the stack. The popped item is",Multiple Choice Question,"1, 2, 3, 4",1,2,6,7,,B,-,LEVEL 1
Javascript,6. Which is the method invoked to begin a path?,Multiple Choice Question,"1, 2, 3, 4",begin(),path(),createPath(),beginPath(),,D,,LEVEL 2
NodeJS - Introduction,Which of the following is right about NPM?,Multiple Choice Question,"1, 2, 3, 4",npm stands for Node Project Manager.,npm is the package manager for the Node JavaScript platform.,"By default, npm installs any dependency in the global mode.",All of the above.,,B,-,LEVEL 1
Total js,Which message does the following log to the console? bar(); function bar() { console.log(‘bar’); },Multiple Choice Question,"1, 2, 3, 4",undefined,TypeError,SyntaxErrror,“bar”,,D,-,LEVEL 1
Javascript,". Consider the following code snippet<br>let succ = function(x) x+1, yes = function() true, no = function() false;<br>What convenience does the above code snippet provide?",Multiple Choice Question,"1, 2, 3, 4",Functional behaviour,Modular behaviour,No convenience,Shorthand expression,,A,,LEVEL 2
Total js,true + true will return :,Multiple Choice Question,"1, 2, 3, 4",TRUE,2,undefined,,,B,-,LEVEL 1
1st June 2020,"What's the output?
const foo = () => console.log('First');
const bar = () => setTimeout(() => console.log('Second'));
const baz = () => console.log('Third');

bar();
foo();
baz();",Multiple Choice Question,"1, 2, 3, 4",First Second Third,First Third Second,Second First Third,Second Third First,,B,-,LEVEL 1
LR - Letter and Symbol,"In a certain code, RIPLE is written as 613382 and LIFE is written as 8192. How is PILLER written in that code?",Multiple Choice Question,"1, 2, 3, 4",318826,318286,618826,338816,,A,-,LEVEL 2
Sanskrit-lecture-6-quiz-1,Select matching Greeting word  ---  Good night,Multiple Choice Question,"1, 2, 3, 4",शुभरात्रिः  śubharātriḥ,राम राम   rāma rāma,सुप्रभातम् suprabhātam,शुभमध्याह्नम्  śubha-madhyāhnam,,A,-,LEVEL 1
ES6,"What will the result of this expression be?<br><br>typeof (new (class F extends (String, Array) { })).substring",Multiple Choice Question,"1, 2, 3, 4",Error,"""undefined""","""object""","""function""",-,B,,LEVEL 2
Sanskrit Open Course Final Exam,उदाहरणं पश्यतु । उदाहरणानुसारं रिक्त स्थानानि पूरयतु । उदा :- परीक्षा भवति । परीक्षा अभवत् । सः परीक्षां _______ । सः परीक्षां _______ ।,Multiple Choice Question,"1, 2, 3, 4","लिखति , अलिखत्","लिखति , लिखन्ति","लिखति , अलिखन्","लिखति , लिखतु",,A,-,LEVEL 1
JS Basics,"What does "" function* fun1()"" means?",Multiple Choice Question,"1, 2, 3, 4",generator function,function,pointer function,void function,,A,-,LEVEL 1
Javascript,The properties that specify the position and button state of the mouse are,Multiple Choice Question,"1, 2, 3, 4",metaKey and shiftKey,altKey and ctrlKey,clientY and clientX,clientX and clientY,,D,,LEVEL 2
JS DOM,Which is the correct JavaScript syntax to change the HTML content given below?<br><br>&lt;p id=”test”&gt;Hello World!&lt;/p&gt;,Multiple Choice Question,"1, 2, 3, 4",document.getElementById(“test”).innerHTML = “Hello DataFlair!”;,document.getElementsById(“test”).innerHTML = “Hello DataFlair!”;,document.getElementById(test).innerHTML = “Hello DataFlair!”;,document.getElementByTagName(“p”)[0].innerHTML = “Hello DataFlair!”;,,A,-,LEVEL 1
Js-ass-2jul,What will be the output of the following JavaScript code? <br /> <br />function equalto() <br />{ <br /> int num=10; <br /> if(num===&rdquo;10&rdquo;) <br /> return true; <br /> else <br /> return false; <br />},Multiple Choice Question,"1, 2, 3, 4",TRUE,FALSE,runtime error,compilation error,,A,-,LEVEL 2
Total js,How do you write a conditional statement that will *only* execute the contained code if variable x has a value 5 of type *number*?,Multiple Choice Question,"1, 2, 3, 4",if (x == 5) { … },if x = 5 …,if (x === 5) { … },if x = 5 then …,,C,-,LEVEL 1
CSS,How do you add a background color for all &lt;h1&gt; elements?,Multiple Choice Question,"1, 2, 3, 4",all.h1 {background-color:#FFFFFF},h1.all {background-color:#FFFFFF},h1 {background-color:#FFFFFF},-,-,C,,LEVEL 2
CSS,The CSS hover class is used for,Multiple Choice Question,"1, 2, 3, 4",Hovering upon using the mouse,Formatting,Styling of fonts,none,-,A,,LEVEL 2
Node,How would you start node with debugger?,Multiple Choice Question,"1, 2, 3, 4",node debug myscript.js,node myscript.js --debug,node myscript.js --debugger,node myscript.js debugger runs automatically with every execution,,A,-,LEVEL 1
March compe 4,"Sara and Toro decided to perform an experiment where they took 2 cups of the same size, one filled with whisky and the other filled with water containing the same amount. Toro took the water and Sara took whisky. Sara takes a spoonful of his whisky and puts it in Toro’s water. Toro stirred her water a little then he took a spoonful of mixed liquid from his cup and put it in Sara whisky such that both the cups will now contain the same amount of liquid.

What would happen if Toro stirred it well.",Multiple Choice Question,"1, 2, 3, 4",No change,Chances of the amount of water in Sara’s whiskey is more than the amount of whisky in Toro’s water were more,Chances of the amount of water in Sara’s whiskey is less than the amount of whisky in Toro’s water,Data insufficient,,A,-,LEVEL 1
HTML,The __________ defines the syntax of markup constructs and include additional definitions such as character entity references.,Multiple Choice Question,"1, 2, 3, 4",Attributes,SGML,Elements,DTD,-,D,-,LEVEL 2
DOM Manipulation,what is the disadvantage of using innerHTML in JavaScript?,Multiple Choice Question,"1, 2, 3, 4",Content can not be replaced everywhere,"We can use like ""appending to innerHTML""","Even if you use +=like ""innerHTML = innerHTML + 'html'"" still the old content is replaced by html","The entire innerHTML content is not re-parsed and build into elements, therefore its not slower",-,C,-,LEVEL 1
Javascript,Which of the following are global functions that are not part of core JavaScript?,Multiple Choice Question,"1, 2, 3, 4",spawn(f);,trim();,exult();,none of the mentioned,,A,,LEVEL 2
Javascript,What are the types of Pop up boxes available in JavaScript?,Multiple Choice Question,"1, 2, 3, 4",Alert,Prompt,Confirm,All of the above,,D,-,LEVEL 1
Node,What is the purpose of the path module?,Multiple Choice Question,"1, 2, 3, 4",to provide utilities to play with file and directory paths,to provide utilities to add and remove files,It is a retiring module.,to provide utilities to test files,,A,-,LEVEL 2
Python,Which of the following is an invalid statement?,Multiple Choice Question,"1, 2, 3, 4","abc = 1,000,000",a b c = 1000 2000 3000,"a,b,c = 1000, 2000, 3000","a_b_c = 1,000,000",,B,-,LEVEL 3
Java,Which is true about the range of values the type can hold?,Multiple Choice Question,"1, 2, 3, 4",Double > float > long > int,Short < Byte,Byte < Int,All the above,,D,-,LEVEL 1
CSS,Which of the below is the correct way to set the color of active links?,Multiple Choice Question,"1, 2, 3, 4",&lt;style type=”text/css”&gt; a:hov {color:#000000} &lt;/style&gt;,&lt;style type=”text/css”&gt; a:hover {color:#000000} &lt;/style&gt;,&lt;style type=’text/css’&gt; a:hover {color:#000000} &lt;/style&gt;,&lt;style type=”text/css”&gt; a-&gt;hover {color:#000000} &lt;/style&gt;,-,B,,LEVEL 2
CSS,Which of the following are the parameters used in the wave effect of CSS filter property?<br>i) add  ii) freq  iii) light  iv) phase  v) intensity,Multiple Choice Question,"1, 2, 3, 4","i, ii, iii and iv only","i, ii, iii and v only","i, ii, iv and v only","All i, ii, iii, iv and v",-,A,,LEVEL 2
HTML,What is the use of “defer” attribute?,Multiple Choice Question,"1, 2, 3, 4",It defers rendering of html page,It defers script execution until the page has been rendered,It defers rendering of css attributes,None of mentioned,-,B,,LEVEL 2
LR - Letter and Symbol,"If FRIEND is coded as HUMJTK, how is CANDLE written in that code?",Multiple Choice Question,"1, 2, 3, 4",EDRIRL,DCQHQK,ESJFME,FYOBOC,,A,-,LEVEL 1
HTML,Which of the following is underline tag ?,Multiple Choice Question,"1, 2, 3, 4",&lt;PRE&gt;,&lt;UL&gt;,&lt;U&gt;,&lt;HR&gt;,-,C,,LEVEL 3
HTML,How to add alternative text for an Image?,Multiple Choice Question,"1, 2, 3, 4","&lt;img src = ""http://www.facebook.com/social.png"" alternate = ""Brand of website"" /&gt;","&lt;img src = ""http://www.facebook.com/social.png"" alt text = ""Brand of website"" /&gt;","src = ""http://www.facebook.com/park.png"" alternate text = ""Brand of website"" /&gt;","&lt;src = ""http://www.facebokk.com/social.png"" alt = ""Brand of website"" /&gt;",-,A,-,LEVEL 2
Javascript,What does the value 2 of the WebSocket attribute Socket.readyState indicate?,Multiple Choice Question,"1, 2, 3, 4",Closed connection,Handshake connection,Unestablished connection,Established connection and communication is possible,,B,,LEVEL 2
Javascript,What's the output?<br>let greeting;<br>greetign = {}; // Typo!<br>console.log(greetign);,Multiple Choice Question,"1, 2, 3, 4",{},ReferenceError: greetign is not defined,undefined,,,A,,LEVEL 2
React,"<br>Number of elements, a valid react component can return",Multiple Choice Question,"1, 2, 3, 4",1,2,3,4,,A,,LEVEL 1
CSS,Which of the following is the correct CSS syntax for using the font property ?,Multiple Choice Question,"1, 2, 3, 4","&lt;p style=""font: italic bold 15px;""&gt; <br>  Free Time Learning <br>&lt;/p&gt;","&lt;p style=""font: italic, bold, 15px;""&gt; <br>  Free Time Learning  <br>&lt;/p&gt;","&lt;p style=""font-style: italic font-weight: bold font-size: 15px;""&gt; <br>  Free Time Learning  <br>&lt;/p&gt;","&lt;p style=""font-style:bold font-weight: italic font-size: 15px;""&gt; <br>  Free Time Learning  <br>&lt;/p&gt;",-,A,,LEVEL 2
HTML,What is the preferred way for adding a background color in HTML?,Multiple Choice Question,"1, 2, 3, 4","&lt;body background=""yellow""&gt;",&lt;background&gt;yellow&lt;/background&gt;,"&lt;body style=""background-color:yellow""&gt;","&lt;background color=""yellow""&gt;text&lt;background&gt;",-,C,-,LEVEL 1
Javascript,What will be the radix value of the parseInt() method when the string begins with 0 ?,Multiple Choice Question,"1, 2, 3, 4",8,7,9,None of the Above,,A,,LEVEL 3
React,React uses _____________ syntax.,Multiple Choice Question,"1, 2, 3, 4",LowerCase,UpperCase,CamelCase,-,-,C,,LEVEL 2
HTML,"To created a bulleted list, use",Multiple Choice Question,"1, 2, 3, 4",&lt;ol&gt;,&lt;ul&gt;,&lt;il&gt;,,-,B,,LEVEL 2
Javascript: “this” keyword,"What change can be made to the code so that it does not output undefined to the console?
var hero = {
    _name: 'Gangadhar',
    getSecretIdentity: function (){
        return this._name;
    }
};

var stoleSecretIdentity = hero.getSecretIdentity;

console.log(stoleSecretIdentity());",Multiple Choice Question,"1, 2, 3, 4","Replace var stoleSecretIdentity = hero.getSecretIdentity;
With var stoleSecretIdentity = hero.getSecretIdentity.bind(hero);","Replace var stoleSecretIdentity = hero.getSecretIdentity;
With var stoleSecretIdentity = hero.getSecretIdentity(hero);","Replace console.log(stoleSecretIdentity());
With document.write(stoleSecretIdentity());","Replace console.log(stoleSecretIdentity());
With document.write(hero.stoleSecretIdentity());",,A,-,LEVEL 1
Aptitude Quiz - Clocks,What is the angle between the hands of the clock at 9:10?,Multiple Choice Question,"1, 2, 3, 4",165°,145°,135°,200°,,B,-,LEVEL 3
HTML,What is &lt;iframe&gt; tag used for?,Multiple Choice Question,"1, 2, 3, 4",To display a web page within a web page.,To specify an inline frame.,Both (a) and (b),none of the above,-,C,,LEVEL 1
Node,"What will be the output of the following Node.js code snippet?<br><br>var EventEmitter =<br><br>require('events').EventEmitter;<br><br>Var er = new EVentEmitter(); var handler1 = function () { console.log('Called the handler');<br><br>er.removeListener('example', handler1);<br><br>};<br><br>er.on('example', handler1);<br><br>er.emit('example');<br><br>er.emit('example');",Multiple Choice Question,"1, 2, 3, 4",Called the handler<br><br>Called the handler,Called the handler,No output will be displayed due to an error in the program.,,,B,-,LEVEL 2
Sanskrit Open Course Final Exam,रमेशः कदा योगाभ्यसं करोति?,Multiple Choice Question,"1, 2, 3, 4",रमेशः षड्वादनतः पादोनसप्तवादन पर्यन्तं विद्याभ्यासम् करोति ।,रमेशः पादोनसप्तवदन षड्वदनतः पर्यन्तं योगाभ्यसं करोति।,रमेशः षड्वादनतः पादोनसप्तवादन पर्यन्तं योगाभ्यसं करोति ।,रमेशः षड्वादतः पादोनसप्तवादन पर्यन्तं गृहपाठं करोति ।,,C,-,LEVEL 1
Java Basics - Operators,"What will be the output of the following program?

class Newton
{
	public static void main (String[] args) throws java.lang.Exception
	{
		int A = 30;
                       if(A%3==0){
                                System.out.print(“Hello”);
                                          }
                    else  if(A%5==0){
                                System.out.print(“Newton”);
                                          }
                        else {
                                System.out.print(“School”);
                                          }


	}
}",Multiple Choice Question,"1, 2, 3, 4",HelloNewton,NewtonSchool,HelloSchool,Hello,,D,-,LEVEL 2
Aptitude Quiz - Geometry and Mensuration,The area of a square is 4096 sq cm. Find the ratio of the breadth and the length of a rectangle whose length is twice the side of the square and breadth is 24 cm less than the side of the square.,Multiple Choice Question,"1, 2, 3, 4",18:05,17:06,05:14,None of these,,D,-,LEVEL 1
React,Which of the following is wrong about React error boundaries?,Multiple Choice Question,"1, 2, 3, 4","Error boundaries catch errors during rendering, in lifecycle methods, and in constructors of the whole tree below them.","A class component becomes an error boundary if it defines a new lifecycle method called componentDidCatch(error,info)",only class components can be error boundaries,an error boundary can catch an error within itself,-,D,,LEVEL 3
Javascript,Which is an equivalent code to invoke a function fun of class opt that expects two arguments p and q?,Multiple Choice Question,"1, 2, 3, 4","opt.fun(p,q);","fun(p,q);",opt.fun(p) && opt.fun(q);,"opt(p,q);",None of these,A,,LEVEL 2
Verbal,Choose the antonym for “COMMISSIONED”,Multiple Choice Question,"1, 2, 3, 4",Started,Closed,Finished,Terminated,,D,-,LEVEL 3
CSS,Which of the following CSS Property selects an animation defined in an @keyframes rule and applies it to the element?,Multiple Choice Question,"1, 2, 3, 4",animation,animation-name,animation-element,none of the mentioned,-,B,,LEVEL 3
Hoisting and closure,"What is the output of the following code snippet?

function foo(outer_arg) { 
  
    function inner(inner_arg) { 
        return outer_arg + inner_arg; 
    } 
    return inner; 
} 
var get_func_inner = foo(5); 
  
console.log(get_func_inner(4)); 
console.log(get_func_inner(3));",Multiple Choice Question,"1, 2, 3, 4",Error,"8
9","9
8",None of the above,,C,-,LEVEL 1
DSA Stacks,"The seven elements A, B, C, D, E, F and G are pushed onto a stack in reverse order, i.e., starting from G. The stack is popped five times and each element is inserted into a queue.Two elements are deleted from the queue and pushed back onto the stack. Now, one element is popped from the stack. The popped item is _",Multiple Choice Question,"1, 2, 3, 4",A,B,F,G,,B,-,LEVEL 2
Node,What is the default scope in Node.js application ?,Multiple Choice Question,"1, 2, 3, 4",Global,Local,Global Function,Local to object,,B,-,LEVEL 1
JS-ass-1JUL,The execution of a function stops when the program control encounters the _________ statement in the body of the function.,Multiple Choice Question,"1, 2, 3, 4",return statement,continue statement,break statement,goto statement,,A,-,LEVEL 1
Aptitude - Permutation and Combination,"In how many ways can the digits 3,4,5,7,9 be arranged among themselves to form a 5 digit even number?",Multiple Choice Question,"1, 2, 3, 4",625,650,24,675,,C,-,LEVEL 2
Sanskrit-lecture-5-quiz-1,भवान् पठतु | भवन्तः -------- bhavān paṭhatu | bhavantaḥ --------,Multiple Choice Question,"1, 2, 3, 4",पठन्तु   paṭhantu,पठामि    paṭhāmi,पठामः    paṭhāmaḥ,,,A,-,LEVEL 1
HTML,Which Tag Is Used If You Want To Indicate The Importance Of The Phrase?,Multiple Choice Question,"1, 2, 3, 4",&lt;h1&gt;,&lt;em&gt;,&lt;strong&gt;,&lt;h2&gt;,-,B,-,LEVEL 3
LR - Logical Problems,"A fruit basket contains more apples than lemons.
There are more lemons in the basket than there are oranges.
The basket contains more apples than oranges.

If the first two statements are true, the third statement is:",Multiple Choice Question,"1, 2, 3, 4",TRUE,FALSE,Uncertain,,,A,-,LEVEL 1
HTTP,To make change in the entry in the table we should use? (HTTP Standards),Multiple Choice Question,"1, 2, 3, 4",PATCH Call,GET Call,POST Call,PUT Call,,A,-,LEVEL 1
ES6,Which of the following is not a state of Promise?,Multiple Choice Question,"1, 2, 3, 4",Rejected,Approved,Resolved,Pending,-,B,,LEVEL 2
React lifecycle,Which are the correct phases of component lifecycle?,Multiple Choice Question,"1, 2, 3, 4",Mounting: getDerivedStateFromProps(); Updating: componentWillUnmount(); Unmounting: shouldComponentUpdate(),Mounting: componentWillUnmount(); Updating: render(); Unmounting: setState(),Mounting: componentDidMount(); Updating: componentDidUpdate(); Unmounting: componentWillUnmount(),Mounting: constructor(); Updating: getDerivedStateFromProps(); Unmounting: render(),,C,-,LEVEL 2
CSS,The marquee-speed property is supported as ………………….. in opera browsers.,Multiple Choice Question,"1, 2, 3, 4",#NAME?,#NAME?,#NAME?,#NAME?,-,A,-,LEVEL 2
Javascript,"Math time! What gets logged?<br><br>const arr = [x =&gt; x * 1, x =&gt; x * 2, x =&gt; x * 3, x =&gt; x * 4];<br><br>console.log(arr.reduce((agg, el) =&gt; agg + el(agg), 1));",Multiple Choice Question,"1, 2, 3, 4",100,110,120,130,,C,,LEVEL 2
Node,"What does the code shown below do?
const fs = require('fs'); const os = require('os');<br>const system = os.platform(); const user = os.userInfo().username; <br>fs.appendFile('hello.txt', `Hello ${user} on ${system}`, (err) =&gt; { if (err) throw err; console.log('The data was appended to file!');}<br>);",Multiple Choice Question,"1, 2, 3, 4",creates a text file hello.txt and appends customized text,creates an image file,console logs system information,creates a file named data and append numbers,,A,-,LEVEL 2
ES6,"What shows in the console?<br>class Parent {<br>constructor(name) {<br>console.log(name);<br>}<br>}<br>class Child extends Parent {}<br>var a = new Child(""foo"");",Multiple Choice Question,"1, 2, 3, 4",foo,null,undefined,throw an error,-,A,,LEVEL 2
HTML,When images are used as links they get a blue border.,Multiple Choice Question,"1, 2, 3, 4",Always,Never,Unless border is set to zero,None of the above,-,C,,LEVEL 2
CSS,Which of the following measurement defines a measurement relative to the height of a font in em spaces?,Multiple Choice Question,"1, 2, 3, 4",px,in,em,pt,-,C,,LEVEL 3
Aptitude - Time and Work,How many minutes past 8 o'clock do the hour and minute hands of the clock meet?,Multiple Choice Question,"1, 2, 3, 4",40 min,45 mins,43 (7/11) mins,43 (5/11) mins,,C,-,LEVEL 2
Javascript,"An expression that can legally appear on the left side of an assignment expression.” is a well known explanation for<br>variables, properties of objects, and elements of arrays. They are called",Multiple Choice Question,"1, 2, 3, 4",Properties,Prototypes,Lvalue,Definition,,C,,LEVEL 2
JS BOM,Which of the following is the correct syntax to create a cookie using JavaScript?,Multiple Choice Question,"1, 2, 3, 4",document.cookie = 'key1 = value1; key2 = value2; expires = date';,browser.cookie = 'key1 = value1; key2 = value2; expires = date';,window.cookie = 'key1 = value1; key2 = value2; expires = date';,navigator.cookie = 'key1 = value1; key2 = value2; expires = date';,,A,-,LEVEL 3
HTML,Which of the following HTML 4 attributes is removed in HTML5?,Multiple Choice Question,"1, 2, 3, 4",text,rules,link,all of the mentioned,-,D,-,LEVEL 1
Java Basics - Loops,"What will be the output of the following program:-
class Newton
{
	public static void main (String[] args) throws java.lang.Exception
	{
		int Count=0;
                       for ( int i = 0 ; i >0 ;i+=0 ){
                         Count++;
                         
                            }
                       System.out.print(Count);  

	}
}",Multiple Choice Question,"1, 2, 3, 4",0,Runtime error,1,Time limit exceeded,,A,-,LEVEL 1
DSA OOPS,"What will be the output of the code given below in a file named <b> Main.java </b> using the commands: 
./dir/ javac Main.java 
./dir/ java Cone

<code>
class Shape {
    double radius = 5.16;
    double length = 6.99;
    double breadth = 8.10;

    void dimensions() {
        System.out.println(breadth);
    }
}

class Cone extends Shape {
    double radius = 7.77;

    void dimensions() {
        System.out.println(length);
    }

    public static void main(String args[]) {
        Shape b = new Cone();
        b.dimensions();
        System.out.println(b.radius);
    }
}
</code>",Multiple Choice Question,"1, 3, 4","6.99
5.16","6.99
7.77","8.10
7.77","8.10
5.16",Compilation Error,A,-,LEVEL 2
Aptitude - Ages,A girl was ‘n’ years old ‘x’ years after. Her age ‘m’ years from now is :,Multiple Choice Question,"1, 2, 3, 4",n – x + m,n + x – m,2n + m + x,n + m + x,,A,-,LEVEL 1
Javascript,Which of the following statements are True about the APIs for Implementing Drag-and-drop.<br><br>i) They have to tie into the underlying OS so that they can work between unrelated applications.<br><br>ii) They must provide a way for a drag source to specify the icon or image to be dragged.<br><br>iii) They must provide event-based notification to both the drag source and drop target of the progress of the Drag-and-drop interaction.,Multiple Choice Question,"1, 2, 3, 4",i and ii only,i and iii only,ii and iii only,"All i, ii and iii",,D,,LEVEL 2
CSS,Which of the following element is used to create a SVG rectangle?,Multiple Choice Question,"1, 2, 3, 4",&lt;square&gt;,&lt;rect&gt;,&lt;rectangle&gt;,&lt;polygon&gt;,None of these,B,-,LEVEL 4
